num	mean	min	q25	q50	q75	max
2458	23	2	16	28	33	37
2459	36	18	35	36	40	41
2460	35	18	33	35	37	41
2461	37	31	36	38	40	41
2462	38	34	37	39	41	41
2463	37	31	36	38	40	41
2464	38	33	35	39	41	41
2465	36	20	35	38	39	41
2466	35	19	33	35	39	41
2467	36	15	33	37	40	41
2468	38	34	36	39	41	41
2469	38	32	37	40	41	41
2470	34	5	32	35	39	41
2471	38	34	37	40	41	41
2472	37	27	35	37	40	41
2473	38	32	37	40	41	41
2474	39	34	39	41	41	41
2475	38	33	36	39	41	41
2476	38	33	36	39	40	41
2477	35	17	33	35	39	41
2478	38	34	35	39	41	41
2479	38	33	35	39	41	41
2480	34	15	31	35	40	41
2481	26	2	20	32	36	40
2482	36	5	35	37	40	41
2483	35	26	33	37	39	40
2484	38	26	36	40	41	41
2485	37	27	35	37	41	41
2486	39	34	39	41	41	41
2487	38	31	36	39	40	41
2488	39	33	37	40	41	41
2489	37	30	35	38	40	41
2490	38	2	37	40	41	41
2491	38	33	37	40	41	41
2492	38	2	37	40	41	41
2493	31	13	28	31	35	40
2494	37	19	35	39	40	41
2495	38	33	36	39	41	41
2496	37	23	35	39	41	41
2497	37	29	35	37	40	41
2498	37	28	35	37	40	41
2499	29	7	26	31	36	40
2500	28	2	26	34	36	40
